Date,logreturn,t,variance_garch_t,w,mu,DF,var_garch_t_05,var_garch_t_01,var_garch_t_025,variance_garch_n,var_garch_n_05,var_garch_n_01,var_garch_n_025,var_empiric_01,var_empiric_025,var_empiric_05
09/08/2017,0.0027615809,251,0.0025306922,,0.001885,3,-0.115657788,-0.223352149,-0.156627029,0.0019416576,-0.070594483,-0.100624012,-0.084479583,-0.124690513,-0.097890849,-0.077450234
09/09/2017,-0.076756601,252,0.001990499,,0.001885,3,-0.102360526,-0.197871722,-0.13869503,0.0015215839,-0.062276856,-0.088860233,-0.074568519,-0.124690513,-0.097890849,-0.077450234
09/10/2017,0.0149224565,253,0.0039033345,,0.001885,3,-0.144095225,-0.277844421,-0.194976283,0.002967673,-0.087720878,-0.124846199,-0.104886941,-0.124690513,-0.097890849,-0.077450234
09/11/2017,-0.010477253,254,0.0029784211,,0.001885,3,-0.125632356,-0.242465576,-0.170078215,0.0022767735,-0.076600344,-0.109118215,-0.091636007,-0.124690513,-0.097890849,-0.077450234
09/12/2017,-0.019087675,255,0.0023768603,,0.001885,3,-0.112029283,-0.216399149,-0.151733815,0.0018214985,-0.068315988,-0.097401493,-0.081764589,-0.124690513,-0.097890849,-0.077450234
09/13/2017,-0.006862662,256,0.0021630133,,0.001885,3,-0.106784081,-0.206348209,-0.144660407,0.0015955782,-0.063818419,-0.091040496,-0.076405405,-0.124690513,-0.097890849,-0.077450234
09/14/2017,-0.063041811,257,0.0018857624,,0.001885,3,-0.099580864,-0.192545289,-0.134946522,0.0013351574,-0.058217883,-0.08311955,-0.069731954,-0.118983903,-0.09373753,-0.076756601
09/15/2017,-0.17671167,258,0.0029742907,,0.001885,3,-0.125543909,-0.242296092,-0.169958939,0.0020966093,-0.073431037,-0.104635804,-0.087859545,-0.116060956,-0.083782779,-0.076237143
09/16/2017,0.1283524059,259,0.0134808367,,0.001885,3,-0.269405273,-0.51796555,-0.363962925,0.0103064733,-0.165102111,-0.234287954,-0.197092368,-0.136198441,-0.09373753,-0.076756601
09/17/2017,-0.002822872,260,0.0150977613,,0.001885,3,-0.285214248,-0.548258962,-0.385282089,0.0122510669,-0.180175115,-0.255605991,-0.215052959,-0.136198441,-0.09373753,-0.076756601
09/18/2017,-0.004678035,261,0.0113344707,,0.001885,3,-0.246872658,-0.47478819,-0.333576606,0.0091365009,-0.15533866,-0.220479319,-0.185458498,-0.136198441,-0.09373753,-0.076756601
09/19/2017,0.0886507323,262,0.0084949601,,0.001885,3,-0.213470802,-0.410783018,-0.288532594,0.006609449,-0.131839413,-0.187243886,-0.157457418,-0.136198441,-0.09373753,-0.076756601
09/20/2017,-0.037308886,263,0.0080844738,,0.001885,3,-0.208203266,-0.40068928,-0.281429067,0.0064724736,-0.130446497,-0.185273858,-0.155797656,-0.116060956,-0.083782779,-0.076237143
09/21/2017,0.0086223085,264,0.0067479145,,0.001885,3,-0.190052906,-0.365909269,-0.256952432,0.0053181717,-0.118067512,-0.167766022,-0.141047185,-0.116060956,-0.083782779,-0.076237143
09/22/2017,-0.083506926,265,0.0051366669,,0.001885,3,-0.165577185,-0.319008499,-0.223945742,0.0038905288,-0.100711522,-0.143219115,-0.120366249,-0.116060956,-0.083782779,-0.076237143
09/23/2017,-0.005864726,266,0.0064679818,,0.001885,3,-0.186029534,-0.358199619,-0.251526721,0.0051625135,-0.116299027,-0.16526482,-0.138939905,-0.116060956,-0.083782779,-0.076756601
09/24/2017,0.0374703724,267,0.004938858,,0.001885,3,-0.162321118,-0.312769171,-0.219554779,0.0037795373,-0.099237467,-0.141134331,-0.118609803,-0.116060956,-0.083782779,-0.076756601
09/25/2017,-0.019613427,268,0.0039209787,,0.001885,3,-0.144424789,-0.278475939,-0.195420717,0.0029710934,-0.0877725,-0.12491921,-0.104948453,-0.116060956,-0.083782779,-0.076756601
09/26/2017,0.0626747108,269,0.0032335753,,0.001885,3,-0.130982177,-0.252716989,-0.177292706,0.0023757738,-0.078288559,-0.11150589,-0.09364764,-0.116060956,-0.083782779,-0.076756601
09/27/2017,-0.008213005,270,0.0034061996,,0.001885,3,-0.134482614,-0.259424583,-0.182013214,0.0026713804,-0.083130166,-0.118353467,-0.09941677,-0.116060956,-0.083782779,-0.076756601
09/28/2017,0.0720766841,271,0.0026971197,,0.001885,3,-0.119461264,-0.230640431,-0.1617562,0.0020347283,-0.072311248,-0.103052065,-0.086525234,-0.116060956,-0.083782779,-0.076756601
09/29/2017,-0.000134673,272,0.0032786283,,0.001885,3,-0.131904585,-0.254484522,-0.178536618,0.0027522639,-0.0844076,-0.120160167,-0.100938927,-0.116060956,-0.083782779,-0.076756601
09/30/2017,-0.002004484,273,0.0025704367,,0.001885,3,-0.116577196,-0.225113933,-0.157866895,0.0020503018,-0.072594648,-0.103452884,-0.086862927,-0.116060956,-0.083782779,-0.076756601
10/01/2017,0.0332530575,274,0.0020295515,,0.001885,3,-0.103378177,-0.199821762,-0.140067382,0.0015624274,-0.06313229,-0.09007009,-0.075587831,-0.116060956,-0.083782779,-0.076756601
10/02/2017,0.0058312916,275,0.0017572317,,0.001885,3,-0.096061974,-0.185802334,-0.130201128,0.0013928352,-0.059502354,-0.084936201,-0.071262495,-0.116060956,-0.083782779,-0.076756601
10/03/2017,0.0059812614,276,0.0014199875,,0.001885,3,-0.086162878,-0.166833528,-0.11685172,0.0010784522,-0.052131909,-0.074512041,-0.062480069,-0.116060956,-0.083782779,-0.076756601
10/04/2017,-0.021561918,277,0.001149673,,0.001885,3,-0.07734031,-0.149927581,-0.104954062,0.0008661947,-0.046525244,-0.066582427,-0.055799315,-0.116060956,-0.083782779,-0.076756601
10/05/2017,-0.015996525,278,0.0012396756,,0.001885,3,-0.080382964,-0.155757965,-0.109057229,0.0009674854,-0.049277483,-0.070474972,-0.05907881,-0.116060956,-0.083782779,-0.076756601
10/06/2017,0.0265491169,279,0.0011917447,,0.001885,3,-0.078776885,-0.15268037,-0.106891353,0.0009464023,-0.048716957,-0.069682209,-0.058410902,-0.116060956,-0.083782779,-0.076756601
10/07/2017,0.001554809,280,0.0010787081,,0.001885,3,-0.074856238,-0.145167562,-0.101604171,0.0008873795,-0.047113656,-0.067414631,-0.056500452,-0.116060956,-0.083782779,-0.076756601
10/08/2017,0.0070142577,281,0.0009175191,,0.001885,3,-0.068890752,-0.133736403,-0.093559426,0.0007419716,-0.042919675,-0.061483002,-0.051503015,-0.116060956,-0.083782779,-0.076756601
10/09/2017,0.0503731611,282,0.0007745563,,0.001885,3,-0.063143477,-0.122723382,-0.085808948,0.0006253353,-0.03924762,-0.056289545,-0.047127491,-0.116060956,-0.083782779,-0.076756601
10/10/2017,0.0374632883,283,0.0012198748,,0.001885,3,-0.079723308,-0.15449392,-0.10816765,0.0010924897,-0.052482322,-0.075007636,-0.062897611,-0.116060956,-0.083782779,-0.076756601
10/11/2017,0.0009021071,284,0.0012354738,,0.001885,3,-0.080243425,-0.155490577,-0.108869053,0.0011230029,-0.053236327,-0.076074041,-0.063796065,-0.116060956,-0.083782779,-0.076756601
10/12/2017,0.0077498147,285,0.0010440477,,0.001885,3,-0.073613272,-0.142785771,-0.099927971,0.0009016608,-0.047506369,-0.067970051,-0.056968398,-0.116060956,-0.083782779,-0.076756601
10/13/2017,0.0997700178,286,0.000875341,,0.001885,3,-0.067244851,-0.1305825,-0.091339849,0.0007243821,-0.042385413,-0.060727386,-0.050866403,-0.116060956,-0.083782779,-0.076756601
10/14/2017,0.0438452555,287,0.0032433963,,0.001885,3,-0.131183796,-0.253103335,-0.1775646,0.0030440189,-0.088866149,-0.126465978,-0.106251616,-0.116060956,-0.083782779,-0.076756601
10/15/2017,0.0310789156,288,0.0028348935,,0.001885,3,-0.122521951,-0.236505368,-0.165883683,0.0026296864,-0.082464116,-0.11741146,-0.098623123,-0.116060956,-0.083782779,-0.076756601
10/16/2017,-0.016181803,289,0.0023181078,,0.001885,3,-0.11061258,-0.21368444,-0.149823323,0.0021165016,-0.073787486,-0.105139937,-0.08828428,-0.116060956,-0.083782779,-0.076756601
10/17/2017,0.0112505657,290,0.0019965816,,0.001885,3,-0.102519682,-0.198176699,-0.138909659,0.0017651113,-0.067220862,-0.095852636,-0.080459666,-0.116060956,-0.083782779,-0.076756601
10/18/2017,-0.019000783,291,0.0015677801,,0.001885,3,-0.090631492,-0.175396358,-0.122877862,0.0013346931,-0.058207431,-0.083104768,-0.0697195,-0.116060956,-0.083782779,-0.076756601
10/19/2017,-0.010320704,292,0.0014753943,,0.001885,3,-0.087864218,-0.170093662,-0.119146059,0.0012598049,-0.056497243,-0.080686017,-0.067681686,-0.116060956,-0.083782779,-0.076756601
10/20/2017,0.0321937444,293,0.0013047059,,0.001885,3,-0.082513167,-0.159839892,-0.111929909,0.0010949054,-0.052542396,-0.075092601,-0.062969194,-0.116060956,-0.083782779,-0.076756601
10/21/2017,0.0430277925,294,0.001227309,,0.001885,3,-0.079971598,-0.154969698,-0.108502481,0.0010492799,-0.05139632,-0.073471684,-0.061603561,-0.116060956,-0.083782779,-0.076756601
10/22/2017,0.0068187627,295,0.001337894,,0.001885,3,-0.083579849,-0.161883887,-0.113368382,0.0011990223,-0.055071435,-0.078669469,-0.06598273,-0.116060956,-0.083782779,-0.076756601
10/23/2017,-0.006196039,296,0.0011159949,,0.001885,3,-0.076171289,-0.147687484,-0.103377581,0.0009599287,-0.049077284,-0.070191827,-0.058840259,-0.116060956,-0.083782779,-0.076756601
10/24/2017,-0.018063109,297,0.0010133959,,0.001885,3,-0.072496757,-0.140646287,-0.098422297,0.0008613838,-0.046390621,-0.066392028,-0.055638903,-0.116060956,-0.083782779,-0.076756601
10/25/2017,-0.065082725,298,0.0010709851,,0.001885,3,-0.074581028,-0.144640201,-0.101233038,0.0009333569,-0.048366994,-0.06918725,-0.057993896,-0.116060956,-0.083782779,-0.076756601
10/26/2017,0.0293154177,299,0.0024291918,,0.001885,3,-0.113276483,-0.218789053,-0.153415724,0.0023215765,-0.077368808,-0.110205069,-0.092551689,-0.116060956,-0.083782779,-0.076756601
10/27/2017,0.038666151,300,0.0020203027,,0.001885,3,-0.103138058,-0.19936164,-0.139743569,0.0018574956,-0.06900626,-0.098377757,-0.082587098,-0.116060956,-0.083782779,-0.076756601
10/28/2017,-0.020682568,301,0.0018510381,,0.001885,3,-0.098642334,-0.190746863,-0.133680869,0.0016888522,-0.065711575,-0.093718022,-0.078661239,-0.116060956,-0.083782779,-0.076756601
10/29/2017,0.0007259319,302,0.0017265147,,0.001885,3,-0.09520213,-0.184154688,-0.129041588,0.001544992,-0.062768503,-0.089555579,-0.075154352,-0.116060956,-0.083782779,-0.076756601
10/30/2017,0.0635032148,303,0.0014288459,,0.001885,3,-0.086437088,-0.167358973,-0.117221506,0.0012318986,-0.055847003,-0.079766369,-0.066906876,-0.116060956,-0.083782779,-0.076756601
10/31/2017,-0.008083977,304,0.0019803655,,0.001885,3,-0.102094834,-0.197362599,-0.138336732,0.0018516684,-0.068894976,-0.098220366,-0.082454495,-0.116060956,-0.083782779,-0.076756601
11/01/2017,0.0452709272,305,0.0016731026,,0.001885,3,-0.093688573,-0.181254386,-0.127000483,0.0015045598,-0.061916912,-0.088351157,-0.074139619,-0.116060956,-0.083782779,-0.076756601
